frame.number,hbb.amt_bytes,hbb.time_frame
1,346986,1002847
2,408464,1016409
3,344902,1011227
4,452228,1005282
5,479320,1005394
6,431388,1010840
7,361574,1012022
8,364700,1003041
9,429304,1001136
10,795046,2004274
11,456396,1025703
12,604360,1001510
13,406380,1006366
14,492866,1010852
15,276130,1016657
16,341776,1000451
17,442850,1006931
18,614780,1007179
19,447018,1001495
20,401170,1013097
21,606444,1004929
22,370952,1003576
23,2380970,6021493
24,476194,1007346
25,312600,1002130
26,397002,1000752
27,848188,2001130
28,476194,1002888
29,707518,1021598
30,439724,1003363
31,623116,1013166
32,461606,1042519
33,505370,1001801
34,406380,1017554
35,615822,1000870
36,479320,1038003
37,336566,1038061
38,517874,1015613
39,341776,1001033
40,753366,2001907
41,478278,1039358
42,424094,1014781
43,963850,2008451
44,314684,1000159
45,440766,1004833
46,374078,1015267
47,304264,1000347
48,355322,1003995
49,848188,2013759
50,359490,1000339
51,576226,1010104
52,385540,1000150
53,697098,2004379
54,373036,1004351
55,889868,2000123
56,469942,1002833
57,900288,2002960
58,366784,1018022
59,754408,2004531
60,442850,1008777
61,375120,1009352
62,425136,1015384
63,677300,2007608
64,380330,1000975
65,315726,1011877
66,411590,1073419
67,724190,1005136
68,353238,1002118
69,589772,1008152
70,523084,1008758
71,374078,1001539
72,458480,1012807
73,704392,1002719
74,551218,1003679
75,450144,1011763
76,298012,1018582
77,427220,1000227
78,832558,2000029
79,292802,1011455
80,423052,1008898
81,336566,1003342
82,481404,1000475
